SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1328136316,0.048046,-0.077865,0.132092,0.407333,-0.029338,-0.146124,-0.030376,-0.312694,-0.344336,-0.290926,0.444284,-1.036959,0
1328169650,0.01625,-0.065998,0.148913,0.633307,-0.046033,-0.278666,-0.44553,-0.572657,0.150626,-0.157731,0.842659,-1.249231,0
1328202984,0.042318,-0.125778,0.139648,0.723237,-0.061911,-0.27108,-1.493435,-1.059258,0.431357,-0.354592,0.666916,-1.509983,0
1328236318,0.010264,0.013396,0.126254,0.773603,0.017623,-0.44521,-1.989384,-0.841057,1.086973,-0.689384,0.843505,-1.214822,0
1328269652,0.016825,0.01649,0.079469,0.910782,0.012991,-0.115329,-2.326873,-1.209776,1.27679,-0.176111,0.86819,-1.599253,0
1328302986,-0.053973,-0.193426,0.042748,0.580909,-0.005453,-0.015385,-1.720845,-1.207738,1.036198,-0.276632,0.899488,-0.756459,0
1328336320,0.049943,-0.362413,0.109628,0.207541,-0.11302,-0.064232,-0.314858,-0.601526,1.023846,-0.00617,1.168153,-0.853303,0
1328369654,-0.041039,-0.155135,0.088765,0.343406,-0.090572,-0.239402,0.515563,-0.313951,1.240469,0.131333,1.791894,-0.634347,0
1328402988,0.18344,0.017391,0.070162,0.39498,-0.125645,-0.600904,0.972018,-0.161973,0.641045,-0.592706,1.874583,-0.044763,0
1328436322,0.440894,0.116815,0.099756,0.31656,-0.516523,-0.3906,0.681804,0.138991,-0.03939,-0.983251,1.053769,-0.200424,0
1328469656,0.370831,0.159642,0.09727,-0.590895,-0.405025,-0.073907,0.358079,-0.077668,-0.86873,-0.654725,-0.927186,-0.115529,0
