SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
3793049125,0.119942,0.028825,-0.068076,0.061713,-0.063574,0.227058,-0.0218,-0.684946,-0.204599,0.436562,0.658565,0.484789,0
3793082459,0.114386,0.058388,-0.105247,-0.142365,-0.041733,-0.011937,-0.172135,-0.680216,-0.084732,0.008341,1.351672,1.124822,0
3793115793,0.079469,-0.042165,-0.06252,-0.084998,0.294276,-0.094986,-0.380755,-0.486152,0.292817,0.0271,1.902096,2.107028,0
3793149127,-0.09372,-0.010401,-0.060611,0.557484,0.415233,0.163645,-0.786083,-0.484522,0.727662,0.643482,2.991326,3.78406,0
3793182461,0.060672,0.094121,-0.062691,0.77741,0.577155,0.370873,-1.18095,-0.379218,1.645543,-0.505887,5.013189,7.921679,0
3793215795,0.058808,0.27592,-0.015066,0.19727,0.787924,0.881141,-1.324436,-0.519999,1.965531,0.896663,5.71281,10.330126,0
3793249129,0.18699,0.159267,-0.053451,-1.111814,1.115476,1.569117,-1.807024,-0.370908,2.39938,-0.410361,4.731188,11.752748,0
3793282463,0.188047,0.158705,-0.032748,-1.956417,1.234628,1.630954,-2.193173,0.122345,2.30866,1.250033,1.324762,8.893904,0
3793315797,0.256267,0.228185,-0.105364,-2.07966,1.864319,1.815887,-2.678795,0.390828,3.020182,-0.002796,-1.844541,3.830176,0
3793349131,0.361132,0.094487,-0.113749,-2.008664,1.501173,2.353888,-2.641216,0.293138,3.863373,1.138692,-1.61236,-1.571747,0
3793382465,0.304241,-0.112829,-0.13319,-1.941957,0.94376,1.977453,-2.516413,-0.154199,5.054012,0.135668,-1.394393,-3.56741,0
3793415799,0.075975,-0.463472,-0.140402,-1.59723,-0.252981,2.091027,-2.295032,-0.173857,6.067701,-1.235275,-0.75921,-5.014566,0
3793449133,-0.116916,-0.952528,-0.015557,-0.959897,-1.594837,0.814733,-1.186793,-0.377069,5.467525,-1.597967,1.878811,-6.126268,0
3793482467,-0.363484,-1.477183,0.043673,-0.159466,-1.952152,0.089048,-0.343228,-1.842701,3.492332,-1.003901,2.026951,-6.18917,0
