Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.308,0.826,0.258,0.361,0.86,0.292,0.059,0.913,0.006,0
-0.246,0.778,0.327,0.353,0.925,0.262,0.319,0.97,0.034,0
-0.439,0.85,0.287,0.428,0.902,0.271,0.034,0.985,0.148,0
-0.452,0.938,0.291,0.354,0.92,0.258,-0.253,1.02,-0.089,0
-0.573,0.782,0.269,0.351,0.9,0.208,0.018,1.0,0.053,0
-0.594,0.82,0.151,0.283,0.86,0.229,-0.23,0.991,0.16,0
-0.611,0.785,0.231,0.346,0.672,0.232,-0.128,0.918,0.111,0
-0.566,0.789,0.194,0.561,0.691,0.286,-0.027,0.974,0.315,0
-0.363,1.0,0.195,0.793,0.715,0.263,-0.393,0.923,0.312,0
-0.577,0.816,0.099,0.569,0.893,0.186,-0.339,0.893,0.424,0
-0.872,0.54,0.407,0.658,0.936,0.203,-0.368,0.858,0.511,0
-1.064,0.426,0.445,1.033,0.754,0.163,-0.299,0.861,0.537,0
-0.835,0.514,0.229,0.662,0.579,0.14,-0.307,0.842,0.559,0
-0.626,0.647,0.228,0.842,0.554,0.233,-0.24,0.781,0.62,0
-0.563,0.577,0.034,0.777,0.433,0.195,-0.319,0.825,0.562,0
-0.621,0.6,0.136,0.435,0.884,-0.005,-0.293,0.776,0.565,0
-0.856,0.707,0.162,0.432,0.479,-0.14,-0.277,0.818,0.516,0
-1.08,0.438,0.367,0.863,0.285,0.48,-0.278,0.923,0.412,0
-1.437,0.364,0.254,1.237,0.349,0.501,-0.137,0.894,0.433,0
-0.905,0.572,0.091,0.994,0.304,0.161,-0.391,0.741,0.498,0
-0.634,0.671,-0.058,0.642,0.629,-0.142,-0.071,0.873,0.457,0
-0.81,0.592,0.061,0.551,0.504,-0.028,0.036,0.939,0.499,0
-0.862,0.392,0.157,0.973,0.186,0.312,-0.39,0.873,0.376,0
-0.815,0.504,0.206,0.744,0.382,0.317,-0.364,0.77,0.495,0
-0.755,0.432,0.377,0.686,0.4,0.272,-0.279,0.769,0.55,0
-0.306,0.474,0.403,0.905,0.632,0.228,-0.282,0.929,0.514,0
-0.516,0.517,0.441,0.809,0.663,0.239,-0.266,0.613,0.623,0
-0.771,0.618,0.505,0.863,0.563,0.384,-0.339,0.705,0.63,0
-0.905,0.663,0.395,0.836,0.479,0.343,-0.312,0.69,0.621,0
-0.909,0.584,0.377,0.553,0.687,0.567,-0.429,0.676,0.614,0
-0.761,0.555,0.37,0.301,0.587,0.451,-0.268,0.713,0.646,0
-0.52,0.582,0.31,0.549,0.603,0.538,-0.384,0.539,0.696,0
-0.698,0.642,0.451,0.299,0.787,0.663,-0.391,0.543,0.711,0
-0.639,0.833,0.52,0.326,0.717,0.688,-0.443,0.595,0.737,0
-0.571,0.685,0.435,0.382,0.726,0.741,-0.471,0.6,0.743,0
-0.671,0.583,0.373,0.488,0.714,0.606,-0.497,0.61,0.693,0
-0.77,0.566,0.391,0.305,0.711,0.666,-0.508,0.564,0.677,0
-0.732,0.765,0.466,0.307,0.691,0.479,-0.535,0.463,0.669,0
-0.405,0.788,0.325,0.041,0.775,0.624,-0.502,0.549,0.771,0
-0.674,0.791,0.354,0.303,0.804,0.738,-0.484,0.417,0.736,0
-0.614,0.791,0.556,0.779,0.72,0.446,-0.466,0.406,0.747,0
-0.441,0.739,0.457,0.571,0.757,0.476,-0.495,0.354,0.829,0
-0.513,0.721,0.617,0.543,0.778,0.555,-0.542,0.324,0.75,0
-0.415,0.824,0.3,0.439,0.729,0.692,-0.574,0.275,0.77,0
-0.414,0.762,0.568,0.404,0.71,0.723,-0.508,0.273,0.825,0
-0.525,0.759,0.295,0.458,0.702,0.644,-0.579,0.192,0.768,0
-0.462,0.888,0.768,0.717,0.966,0.639,-0.564,0.23,0.8,0
-0.465,0.665,0.471,0.836,0.583,0.491,-0.495,0.253,0.869,0
-0.406,0.758,0.433,1.216,0.799,0.621,-0.524,0.171,0.836,0
-0.593,0.847,0.561,0.435,0.415,0.476,-0.485,0.221,0.904,0
-0.802,0.528,0.298,0.655,0.55,0.472,-0.495,0.093,0.862,0
-0.723,0.56,0.314,0.668,0.558,0.515,-0.469,0.149,0.841,0
-0.649,0.64,0.387,1.092,0.68,0.138,-0.471,0.064,0.835,0
-0.509,0.875,0.357,0.471,0.222,0.163,-0.465,0.139,0.855,0
-0.771,0.504,0.462,0.736,0.599,0.195,-0.473,0.153,0.841,0
-0.545,0.674,0.231,0.8,0.52,0.607,-0.381,0.178,0.928,0
-0.61,0.576,0.364,0.717,0.469,0.45,-0.406,0.092,0.945,0
-0.617,0.563,0.393,0.672,0.498,0.299,-0.474,-0.027,0.892,0
-0.678,0.613,0.321,0.642,0.469,0.343,-0.362,-0.027,0.938,0
-0.685,0.699,0.269,0.867,0.519,0.541,-0.372,-0.014,0.965,0
-0.638,0.733,0.234,0.767,0.372,0.464,-0.416,-0.049,0.867,0
-0.708,0.708,0.298,0.584,0.639,0.321,-0.368,-0.089,0.92,0
-0.685,0.651,0.307,0.784,0.612,0.425,-0.37,-0.081,0.976,0
-0.498,0.637,0.253,0.738,0.59,0.603,-0.354,-0.084,0.929,0
-0.575,0.846,0.203,0.926,0.465,0.656,-0.305,-0.093,0.901,0
-0.765,0.742,0.216,0.735,0.288,0.736,-0.334,-0.009,1.067,0
-0.752,0.69,0.332,0.556,0.44,0.468,-0.513,0.049,0.987,0
-0.715,0.659,0.277,0.632,0.429,0.49,-0.449,0.152,0.89,0
