Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.756,0.593,0.454,0.713,-0.625,0.582,0.96,-0.039,-0.269,0
0.742,0.65,0.493,0.646,-0.735,0.792,0.965,-0.036,-0.261,0
0.602,0.827,0.619,0.459,-0.801,0.832,0.97,-0.047,-0.252,0
0.447,0.832,0.793,0.226,-0.644,0.852,0.97,-0.064,-0.238,0
0.305,0.702,0.7,-0.126,-0.412,0.532,0.968,-0.049,-0.235,0
0.241,0.654,0.558,0.251,-0.41,0.628,0.965,-0.053,-0.234,0
0.099,0.479,0.615,0.553,-0.43,0.742,1.001,-0.085,-0.161,0
-0.128,0.366,0.777,0.4,-0.344,0.74,0.991,-0.049,-0.164,0
-0.338,0.294,0.917,0.075,-0.378,0.721,0.99,-0.011,-0.181,0
-0.465,0.219,0.982,-0.058,-0.475,0.839,0.977,-0.087,-0.203,0
-0.454,0.174,0.865,-0.045,-0.524,0.981,0.996,-0.048,-0.12,0
-0.416,0.181,0.87,-0.007,-0.524,0.954,0.966,-0.176,-0.061,0
-0.104,0.294,0.857,-0.074,-0.57,1.063,0.949,-0.25,-0.056,0
0.0,0.403,0.903,-0.121,-0.726,1.063,0.993,-0.169,-0.092,0
-0.14,0.395,0.871,-0.058,-0.496,0.762,1.014,-0.123,-0.138,0
-0.335,0.354,0.929,0.261,-0.389,0.764,0.979,-0.225,-0.13,0
-0.549,0.15,0.959,0.495,-0.347,0.665,0.972,-0.21,-0.079,0
-0.618,0.131,1.008,0.24,-0.453,0.626,0.962,-0.233,-0.089,0
-0.646,0.102,0.763,-0.095,-0.523,0.963,0.996,-0.163,-0.009,0
-0.363,0.049,0.498,-0.197,-0.57,1.237,0.992,-0.3,-0.027,0
0.328,0.484,1.136,-0.087,-0.564,1.088,0.978,-0.293,0.009,0
0.185,0.41,1.13,0.028,-0.395,0.813,0.981,-0.26,0.035,0
-0.117,0.322,1.127,0.065,-0.215,0.656,0.992,-0.181,0.054,0
-0.356,0.147,0.915,0.473,-0.482,0.958,0.982,-0.192,0.061,0
-0.371,0.138,0.682,0.206,-0.46,0.884,0.962,-0.192,0.093,0
-0.424,0.217,0.684,-0.247,-0.45,0.918,0.961,-0.184,0.112,0
-0.555,0.1,0.842,-0.533,-0.327,0.997,0.971,-0.177,0.12,0
-0.087,0.387,1.064,-0.412,-0.301,0.958,0.98,-0.153,0.114,0
0.183,0.667,1.146,-0.06,-0.421,0.906,0.977,-0.172,0.115,0
0.021,0.51,0.954,0.329,-0.504,0.902,0.976,-0.194,0.132,0
-0.223,0.292,0.824,0.15,-0.456,0.887,0.969,-0.168,0.137,0
-0.386,0.118,0.854,-0.086,-0.435,0.935,0.977,-0.147,0.146,0
-0.472,0.029,0.798,-0.336,-0.344,0.936,0.984,-0.195,0.125,0
-0.536,0.079,0.783,-0.457,-0.252,0.98,0.967,-0.2,0.143,0
-0.301,0.199,0.877,-0.321,-0.298,0.879,0.966,-0.19,0.161,0
0.068,0.473,1.104,-0.065,-0.247,0.794,0.967,-0.185,0.205,0
-0.084,0.472,0.987,0.283,-0.381,0.754,0.939,-0.214,0.213,0
-0.2,0.399,0.919,0.301,-0.524,0.861,0.892,-0.322,0.258,0
-0.483,0.181,0.823,-0.018,-0.482,0.903,0.908,-0.298,0.306,0
-0.576,0.057,0.868,-0.117,-0.457,0.989,0.958,-0.229,0.281,0
-0.569,0.057,0.85,-0.173,-0.499,1.133,0.92,-0.261,0.265,0
-0.598,0.105,0.774,-0.329,-0.397,1.045,0.928,-0.259,0.261,0
