Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.522,0.84,0.268,0.486,0.867,0.184,-0.031,0.982,-0.195,0
-0.513,0.863,0.265,0.513,0.809,0.198,0.05,0.969,-0.214,0
-0.536,0.862,0.217,0.53,0.788,0.194,0.011,0.968,-0.183,0
-0.469,0.892,0.17,0.541,0.807,0.212,0.093,0.966,-0.233,0
-0.512,0.89,0.178,0.412,0.752,0.157,-0.005,0.955,-0.291,0
-0.516,0.792,0.179,0.367,0.896,0.259,-0.049,1.059,-0.036,0
-0.573,0.793,0.174,0.337,1.131,0.364,0.033,0.985,-0.229,0
-0.529,0.81,0.299,0.242,1.001,0.356,0.033,0.983,-0.245,0
-0.458,0.811,0.419,0.245,0.881,0.327,-0.028,0.973,-0.238,0
-0.485,0.792,0.391,0.219,0.878,0.324,0.021,0.943,-0.296,0
-0.481,0.765,0.337,0.484,0.948,0.222,-0.209,1.037,-0.048,0
-0.545,0.82,0.298,0.546,0.804,0.277,-0.131,1.152,0.165,0
-0.512,0.922,0.418,0.416,0.972,0.546,0.0,0.969,0.237,0
-0.725,0.757,0.449,-0.015,0.799,0.674,-0.107,0.906,0.065,0
-0.904,0.485,0.512,0.081,0.697,0.521,-0.024,0.862,-0.16,0
-0.961,0.126,0.602,0.176,0.897,0.577,-0.147,0.93,0.061,0
-0.556,-0.04,0.464,0.235,1.009,0.437,-0.317,1.167,-0.063,0
-0.55,0.004,0.268,0.305,0.795,0.333,0.081,0.92,0.018,0
-0.553,0.164,0.299,0.317,0.85,0.298,0.076,1.006,-0.128,0
-0.718,0.295,0.753,0.453,0.846,0.321,-0.097,0.944,-0.211,0
-0.959,0.214,1.069,0.416,1.088,0.385,0.037,0.988,-0.153,0
-0.517,0.073,0.97,0.219,0.953,0.341,0.045,0.959,-0.255,0
-0.309,0.029,0.655,0.291,0.898,0.317,0.055,1.01,-0.179,0
-0.558,0.15,0.601,0.392,0.81,0.351,-0.013,0.971,-0.274,0
-0.622,0.33,1.003,0.33,0.833,0.435,0.028,0.981,-0.222,0
-1.029,0.194,0.932,0.392,0.731,0.503,0.118,0.991,-0.148,0
-0.651,0.076,0.664,0.377,0.614,0.657,0.118,0.958,-0.263,0
-0.378,-0.032,0.519,0.422,0.731,0.413,0.026,0.989,-0.251,0
-0.826,0.182,0.461,0.309,1.268,0.476,-0.001,1.002,-0.209,0
-0.993,0.385,0.556,0.063,0.728,0.883,-0.009,0.939,-0.218,0
-0.905,0.1,0.672,0.583,0.079,0.645,-0.048,0.977,-0.171,0
-0.542,0.044,0.577,0.592,0.273,0.326,-0.014,1.047,-0.011,0
-0.483,-0.04,0.45,0.588,0.885,0.23,-0.011,1.095,0.148,0
-0.702,0.138,0.693,0.536,0.898,0.597,-0.17,1.006,-0.027,0
-0.801,0.472,0.608,0.855,0.796,0.709,0.221,0.845,-0.233,0
-0.806,0.371,0.795,0.547,-0.097,0.627,0.067,0.816,0.212,0
-0.653,0.131,0.865,0.484,-0.378,0.225,0.192,1.234,1.167,0
-0.602,0.197,0.721,0.768,0.6,0.381,0.458,1.091,0.252,0
-0.689,0.411,0.653,0.763,0.964,0.517,-0.021,1.038,0.228,0
-0.833,0.346,0.556,0.737,0.85,0.654,0.133,0.952,0.375,0
-0.486,0.559,0.851,0.519,0.227,0.606,0.21,0.874,0.449,0
-0.525,0.309,0.773,0.631,-0.029,0.635,0.25,0.883,0.399,0
-0.469,0.308,0.727,0.694,0.319,0.364,0.093,0.931,0.423,0
-0.692,0.438,0.711,0.777,0.858,0.564,0.229,0.891,0.442,0
-0.581,0.608,0.556,0.699,0.75,0.609,0.207,0.864,0.463,0
-0.539,0.892,0.882,0.649,0.246,0.659,0.281,0.879,0.474,0
-0.534,0.605,0.792,0.442,-0.103,0.708,0.153,0.841,0.508,0
-0.487,0.569,0.631,0.91,0.368,0.427,0.256,0.816,0.534,0
-0.53,1.077,0.561,0.568,1.071,0.461,0.145,0.862,0.527,0
-0.633,0.862,0.77,0.594,1.292,0.779,0.135,0.844,0.576,0
-0.747,0.772,0.711,0.422,0.174,0.703,0.154,0.768,0.612,0
-0.669,0.425,0.722,0.649,0.098,0.537,0.155,0.721,0.626,0
-0.304,0.164,0.38,0.718,0.685,0.438,0.205,0.757,0.634,0
-1.002,0.664,0.357,0.742,0.816,0.421,0.134,0.771,0.657,0
-0.8,0.63,0.584,0.619,0.927,0.45,0.276,0.688,0.656,0
-0.929,0.47,0.637,0.527,0.871,0.607,0.171,0.753,0.699,0
-0.707,0.271,0.686,0.558,0.45,0.53,0.208,0.658,0.706,0
-0.613,0.141,0.57,0.476,0.523,0.478,0.156,0.517,0.665,0
-0.609,0.222,0.475,0.516,0.893,0.428,0.218,0.525,0.702,0
-0.821,0.428,0.584,0.464,1.143,0.508,0.11,0.432,0.766,0
-0.782,0.367,0.608,0.479,1.079,0.539,0.25,0.529,0.851,0
-0.784,0.323,0.582,0.449,0.733,0.578,0.241,0.607,0.858,0
-0.733,0.308,0.673,0.484,0.439,0.313,0.229,0.525,0.863,0
-0.681,0.106,0.604,0.334,0.88,0.322,0.322,0.475,0.866,0
-0.525,-0.049,0.656,0.494,1.08,0.388,0.255,0.545,0.942,0
-0.503,-0.13,0.593,0.575,0.977,0.5,0.138,0.516,0.892,0
-0.824,0.15,0.523,0.581,0.631,0.475,0.33,0.59,0.791,0
-0.853,0.134,0.507,0.613,0.379,0.542,0.276,0.563,0.769,0
-0.551,-0.06,0.506,0.484,0.322,0.495,0.201,0.575,0.747,0
-0.845,-0.044,0.6,0.394,0.654,0.3,0.177,0.641,0.696,0
-0.793,0.102,0.503,0.53,1.438,0.626,0.257,0.757,0.641,0
-0.774,0.29,0.409,0.369,1.098,0.542,0.184,0.792,0.624,0
-0.758,0.451,0.389,0.326,0.935,0.625,0.255,0.776,0.531,0
-0.571,0.521,0.389,0.418,0.625,0.667,0.263,0.832,0.488,0
-0.62,0.668,0.399,0.517,0.286,0.45,0.171,0.86,0.478,0
-0.639,0.693,0.291,0.474,0.466,0.358,0.205,0.948,0.404,0
-0.598,0.756,0.323,0.474,0.812,0.364,0.156,0.914,0.365,0
-0.614,0.829,0.314,0.519,0.993,0.528,0.219,0.904,0.339,0
-0.626,0.851,0.23,0.535,0.697,0.604,0.212,0.946,0.259,0
-0.608,0.802,0.224,0.519,0.309,0.72,0.094,0.978,0.231,0
-0.533,0.814,0.217,0.56,0.058,0.707,0.296,0.967,0.152,0
-0.559,0.8,0.231,0.546,0.061,0.516,0.099,1.016,0.111,0
-0.553,0.759,0.198,0.59,0.346,0.441,0.013,0.982,0.04,0
-0.49,0.829,0.314,0.627,0.682,0.542,0.066,1.022,0.042,0
-0.455,0.894,0.191,0.669,0.708,0.353,0.049,0.984,-0.21,1
-0.5,0.885,0.173,0.699,0.684,0.338,0.042,0.974,-0.23,1
-0.446,0.846,0.173,0.539,0.762,0.396,0.043,0.98,-0.209,1
-0.625,0.795,0.091,0.41,0.785,0.312,0.06,0.981,-0.192,1
-0.736,0.682,0.016,0.337,0.815,0.249,0.052,0.979,-0.208,1
-0.72,0.788,0.096,0.471,0.911,0.234,0.04,0.978,-0.203,1
-0.542,0.828,0.19,0.649,0.878,0.278,0.178,1.016,-0.13,1
-0.534,0.841,0.178,0.46,0.929,0.375,0.056,0.97,-0.191,1
-0.52,0.83,0.206,0.396,1.003,0.409,0.039,0.967,-0.284,1
-0.563,0.828,0.147,0.157,1.021,0.417,0.016,0.976,-0.188,1
-0.585,0.797,0.132,0.279,1.014,0.331,0.075,0.972,-0.226,1
-0.572,0.77,0.131,0.273,0.985,0.265,0.066,0.984,-0.213,1
-0.534,0.901,0.217,0.238,0.915,0.205,0.061,0.97,-0.244,1
-0.631,0.824,0.118,0.226,0.806,0.167,0.064,0.988,-0.237,1
-0.586,0.773,0.114,0.233,0.746,0.359,-0.349,1.253,0.209,1
-0.568,0.81,0.127,0.126,0.864,0.803,-0.026,0.962,-0.177,1
-0.6,0.795,0.112,-0.088,0.862,0.691,0.085,0.937,0.226,1
-0.581,0.82,0.104,0.127,0.86,0.613,-0.344,0.827,0.103,1
-0.64,0.859,0.119,0.217,0.848,0.512,-0.186,0.988,0.177,1
-0.58,0.792,0.25,0.162,0.894,0.419,-0.022,0.991,0.223,1
-0.295,0.704,0.381,0.12,0.9,0.44,-0.147,0.983,0.203,1
-0.581,0.885,0.357,0.069,0.907,0.426,-0.11,0.981,0.193,1
-0.641,1.25,0.467,0.051,0.814,0.357,-0.13,0.963,0.147,1
-0.778,0.93,0.516,0.106,0.86,0.388,-0.076,0.907,0.156,1
-0.608,0.492,0.534,0.158,0.964,0.445,-0.111,1.02,0.055,1
-0.539,0.222,0.453,0.203,1.035,0.464,-0.076,1.063,-0.001,1
-0.542,0.175,0.639,0.324,0.965,0.384,-0.036,0.999,-0.155,1
-0.517,0.159,0.7,0.389,0.895,0.348,0.063,1.038,-0.138,1
-0.51,0.11,0.872,0.346,0.925,0.365,0.021,0.983,-0.255,1
-0.542,0.04,0.84,0.25,1.031,0.393,0.065,0.966,-0.246,1
-0.505,-0.013,0.799,0.164,1.085,0.361,0.04,0.976,-0.224,1
-0.543,-0.001,0.855,0.148,0.857,0.307,0.063,0.987,-0.233,1
-0.264,-0.02,0.41,0.135,0.777,0.324,0.041,0.974,-0.243,1
-0.502,-0.064,0.861,0.182,0.947,0.398,0.017,0.973,-0.271,1
-0.474,-0.096,0.874,0.12,0.998,0.449,0.05,0.981,-0.203,1
-0.541,-0.136,0.807,0.126,0.965,0.384,0.074,0.97,-0.22,1
-0.54,-0.139,0.812,0.163,0.801,0.369,0.016,0.973,-0.256,1
-0.515,-0.128,0.833,0.098,0.84,0.414,-0.08,0.991,-0.148,1
-0.533,-0.129,0.836,0.113,0.858,0.477,-0.05,1.02,-0.048,1
-0.532,-0.161,0.867,0.092,0.887,0.469,-0.162,1.056,0.0,1
-0.606,-0.146,0.848,0.174,0.875,0.43,-0.18,1.007,-0.048,1
-0.535,-0.193,0.794,0.212,0.818,0.428,-0.177,0.896,-0.033,1
-0.58,-0.185,0.79,0.21,0.878,0.497,-0.174,0.963,0.021,1
-0.558,-0.197,0.786,0.169,1.022,0.568,-0.108,0.989,0.101,1
-0.566,-0.181,0.797,0.129,0.942,0.465,-0.078,1.099,0.183,1
-0.578,-0.193,0.806,0.168,0.975,0.391,-0.203,1.05,0.177,1
-0.586,-0.199,0.787,0.178,0.919,0.304,0.114,0.826,0.205,1
-0.588,-0.189,0.802,0.205,0.946,0.25,-0.122,0.87,-0.018,1
-0.571,-0.192,0.792,0.271,0.873,0.256,-0.159,0.902,-0.009,1
-0.582,-0.186,0.795,0.433,1.008,0.379,0.001,0.94,0.269,1
-0.572,-0.191,0.8,0.285,1.192,0.469,-0.161,1.05,-0.099,1
-0.571,-0.195,0.798,0.149,0.842,0.452,-0.059,1.0,-0.223,1
-0.57,-0.191,0.795,0.519,0.67,0.352,0.013,0.998,-0.168,1
-0.592,-0.188,0.779,0.788,0.478,0.311,0.068,0.962,-0.279,1
-0.584,-0.19,0.798,0.79,0.392,0.238,0.047,0.992,-0.197,1
-0.597,-0.195,0.792,0.768,0.672,0.108,0.02,0.954,-0.286,1
-0.596,-0.191,0.766,0.851,0.614,0.034,0.042,0.988,-0.264,1
-0.602,-0.199,0.79,0.815,0.516,-0.034,0.041,0.982,-0.224,1
-0.584,-0.208,0.786,0.955,0.428,0.042,0.041,0.976,-0.246,1
-0.615,-0.201,0.769,0.292,0.485,0.338,-0.031,0.997,-0.183,1
-0.625,-0.197,0.749,0.369,0.535,0.518,-0.016,0.951,-0.289,1
-0.64,-0.178,0.711,0.774,0.715,0.43,-0.138,0.982,-0.163,1
-0.675,-0.167,0.653,0.496,1.002,0.728,-0.12,1.017,-0.104,1
-0.768,-0.117,0.67,0.214,0.86,0.532,-0.173,1.052,0.019,1
-0.783,-0.113,0.631,0.36,0.64,0.53,-0.143,1.04,0.181,1
-0.799,-0.099,0.646,0.455,0.731,0.499,-0.092,0.976,-0.106,1
-0.799,-0.072,0.676,0.392,0.748,0.579,-0.009,0.931,-0.022,1
-0.766,-0.093,0.625,0.442,0.748,0.53,-0.095,0.907,0.155,1
-0.795,-0.093,0.606,0.411,0.75,0.5,-0.067,0.96,0.186,1
-0.82,-0.06,0.645,0.394,0.75,0.494,0.001,0.978,0.15,1
-0.759,-0.016,0.641,0.397,0.749,0.469,0.095,0.902,-0.011,1
-0.684,0.02,0.703,0.394,0.696,0.564,-0.053,0.922,0.095,1
-0.75,0.06,0.73,0.561,0.777,0.607,-0.116,0.979,-0.073,1
-0.656,-0.004,0.767,0.402,0.744,0.401,0.065,1.026,-0.174,1
-0.713,-0.016,0.7,0.507,0.701,0.407,0.042,0.971,-0.28,1
-0.67,-0.014,0.73,0.602,0.766,0.361,0.047,0.986,-0.241,1
-0.651,-0.002,0.75,0.565,0.84,0.382,0.027,0.99,-0.226,1
-0.645,-0.0,0.738,0.44,0.689,0.356,0.042,0.965,-0.275,1
-0.644,0.025,0.75,0.606,0.753,0.399,0.01,0.973,-0.248,1
-0.649,0.015,0.764,0.531,0.735,0.466,0.048,0.992,-0.188,1
-0.684,0.017,0.771,0.579,0.673,0.493,0.025,0.987,-0.215,1
-0.658,-0.049,0.736,0.578,0.681,0.569,-0.036,0.976,-0.21,1
-0.703,-0.068,0.714,0.64,0.778,0.521,-0.187,1.001,-0.156,1
-0.681,-0.103,0.662,0.464,0.816,0.343,-0.12,0.938,0.064,1
-0.744,-0.131,0.654,0.105,0.838,0.467,-0.057,0.933,-0.172,1
-0.784,-0.125,0.658,0.409,0.869,0.427,-0.219,0.964,0.013,1
-0.762,-0.131,0.652,0.385,0.792,0.414,-0.138,0.949,0.342,1
-0.756,-0.115,0.646,0.42,0.768,0.518,0.054,0.833,-0.116,1
-0.759,-0.093,0.639,0.461,0.724,0.488,0.047,1.021,0.145,1
-0.767,-0.097,0.625,0.402,0.695,0.604,-0.222,0.955,0.134,1
-0.811,-0.091,0.62,0.336,0.707,0.615,-0.099,0.928,0.04,1
-0.782,-0.08,0.624,0.403,0.7,0.645,0.039,1.042,0.176,1
-0.794,-0.074,0.617,0.375,0.683,0.655,-0.53,1.043,0.271,1
-0.792,-0.078,0.612,0.492,0.728,0.55,-0.102,1.027,-0.019,1
-0.795,-0.084,0.619,0.46,0.732,0.442,-0.065,0.969,-0.182,1
-0.816,-0.038,0.631,0.544,0.824,0.422,-0.07,0.989,-0.156,1
-0.728,-0.013,0.631,0.477,0.735,0.432,0.001,1.026,-0.136,1
-0.777,0.082,0.657,0.515,0.704,0.43,0.051,0.985,-0.244,1
-0.736,0.126,0.686,0.596,0.711,0.442,0.061,0.983,-0.229,1
-0.713,0.119,0.718,0.582,0.672,0.488,0.03,0.976,-0.223,1
-0.718,0.165,0.679,0.609,0.625,0.507,0.162,1.012,-0.34,1
-0.808,0.106,0.617,0.628,0.639,0.52,0.035,0.958,-0.316,1
-0.769,0.126,0.631,0.567,0.673,0.52,0.056,0.994,-0.192,1
-0.758,0.122,0.63,0.563,0.656,0.579,0.071,0.978,-0.229,1
-0.772,0.113,0.655,0.551,0.62,0.587,0.021,0.948,-0.214,1
-0.719,0.086,0.627,0.603,0.715,0.581,0.101,1.021,-0.183,1
-0.787,0.086,0.601,0.464,0.666,0.48,0.05,0.968,-0.283,1
-0.896,0.054,0.423,0.497,0.816,0.462,-0.147,0.967,-0.244,1
-0.996,0.058,0.271,0.36,0.796,0.385,-0.124,1.041,-0.145,1
-1.041,0.067,0.092,0.31,0.847,0.486,-0.224,0.96,-0.12,1
-0.99,0.042,-0.047,0.396,0.742,0.589,-0.16,0.982,-0.057,1
-1.001,0.034,-0.212,0.487,0.687,0.498,-0.17,0.976,-0.037,1
-1.013,-0.044,-0.37,0.327,0.785,0.567,-0.221,0.958,0.259,1
-0.916,-0.09,-0.323,0.391,0.73,0.633,-0.146,0.959,-0.001,1
-0.839,-0.096,-0.355,0.396,0.699,0.603,0.025,0.94,0.257,1
-0.901,-0.087,-0.375,0.357,0.726,0.569,-0.006,0.971,0.161,1
-0.92,-0.094,-0.388,0.324,0.696,0.544,-0.145,1.062,0.43,1
-0.874,-0.105,-0.388,0.33,0.716,0.574,-0.083,0.971,0.075,1
-0.957,-0.032,-0.422,0.292,0.778,0.591,-0.118,0.989,0.036,1
-0.95,-0.113,-0.377,0.324,0.792,0.635,-0.099,1.005,-0.083,1
-0.948,-0.112,-0.454,0.448,0.799,0.623,-0.001,1.02,-0.09,1
-0.952,-0.096,-0.366,0.428,0.619,0.461,0.025,0.994,-0.175,1
-0.906,-0.109,-0.32,0.532,0.681,0.484,0.032,0.971,-0.219,1
-0.934,-0.065,-0.327,0.529,0.676,0.517,-0.01,0.943,-0.295,1
-0.88,0.011,-0.208,0.549,0.656,0.51,0.051,1.066,-0.081,1
-0.984,0.039,-0.203,0.554,0.709,0.488,0.07,1.001,-0.221,1
-0.973,0.072,-0.135,0.509,0.74,0.434,0.049,0.978,-0.256,1
-0.906,0.215,0.032,0.531,0.722,0.423,0.031,0.971,-0.219,1
-0.832,0.512,0.087,0.565,0.738,0.451,0.079,0.983,-0.188,1
-0.523,0.654,0.259,0.503,0.8,0.532,0.057,0.968,-0.22,1
-0.823,0.646,0.194,0.482,0.742,0.521,0.071,0.969,-0.212,1
-0.805,0.896,0.083,0.536,0.697,0.5,0.086,0.97,-0.224,1
-0.617,0.923,0.294,0.563,0.699,0.481,0.103,0.969,-0.218,1
-0.344,0.919,0.309,0.523,0.666,0.46,0.03,0.976,-0.296,1
-0.371,0.954,0.194,0.495,0.661,0.522,0.014,0.965,-0.224,1
-0.448,0.795,0.143,0.464,0.73,0.557,-0.035,1.005,-0.202,1
-0.402,0.795,0.208,0.337,0.727,0.477,-0.031,1.017,-0.154,1
-0.39,0.771,0.183,0.374,0.746,0.64,-0.112,0.982,0.011,1
-0.41,0.89,0.169,0.341,0.766,0.616,-0.021,1.06,-0.077,1
-0.43,1.099,0.21,0.343,0.767,0.512,-0.026,0.971,-0.161,1
-0.263,1.076,0.212,0.332,0.777,0.527,0.088,0.978,-0.021,1
-0.244,0.964,0.183,0.331,0.785,0.537,-0.138,1.003,0.08,1
-0.29,0.923,0.134,0.338,0.77,0.525,0.051,0.998,0.132,1
-0.295,0.92,0.128,0.337,0.773,0.529,0.069,1.0,0.1,1
-0.294,0.962,0.208,0.345,0.773,0.54,-0.198,0.878,-0.253,1
-0.239,0.953,0.265,0.349,0.753,0.552,-0.271,1.181,-0.063,1
-0.289,0.916,0.284,0.371,0.746,0.557,-0.012,0.954,0.003,1
-0.297,0.944,0.291,0.374,0.741,0.573,0.042,1.022,-0.02,1
-0.321,1.005,0.269,0.349,0.747,0.564,0.007,0.99,-0.054,1
-0.384,0.914,0.238,0.341,0.736,0.542,-0.005,0.973,-0.136,1
-0.259,0.929,0.27,0.368,0.8,0.614,0.039,0.969,-0.262,1
-0.292,0.937,0.325,0.387,0.733,0.577,0.11,1.025,-0.138,1
-0.25,0.901,0.405,0.456,0.726,0.525,0.104,0.987,-0.234,1
-0.158,0.832,0.419,0.462,0.703,0.506,0.074,0.985,-0.231,1
-0.167,0.924,0.403,0.519,0.689,0.526,0.063,0.981,-0.192,1
-0.188,0.904,0.354,0.529,0.679,0.491,0.098,0.959,-0.215,1
-0.229,0.911,0.322,0.501,0.695,0.485,0.026,0.978,-0.21,1
-0.236,0.935,0.326,0.538,0.734,0.504,0.091,0.991,-0.228,1
-0.215,0.913,0.331,0.506,0.743,0.487,0.084,0.972,-0.24,1
-0.202,0.911,0.359,0.509,0.71,0.479,0.046,0.953,-0.288,1
-0.175,0.902,0.384,0.548,0.688,0.477,0.036,0.975,-0.233,1
-0.19,0.896,0.382,0.572,0.694,0.509,0.053,0.988,-0.214,1
-0.227,0.92,0.368,0.546,0.647,0.526,0.018,0.967,-0.248,1
-0.241,0.903,0.346,0.576,0.683,0.541,0.033,0.978,-0.21,1
-0.275,0.924,0.328,0.572,0.676,0.486,0.026,0.985,-0.196,1
-0.271,0.918,0.298,0.539,0.687,0.502,0.005,1.009,-0.191,1
-0.295,0.932,0.266,0.498,0.706,0.508,-0.025,1.02,-0.018,1
-0.335,0.94,0.244,0.475,0.717,0.488,-0.064,0.991,-0.072,1
-0.311,0.921,0.246,0.449,0.718,0.463,-0.123,1.0,0.008,1
-0.331,0.915,0.232,0.434,0.755,0.527,-0.051,1.004,0.017,1
-0.354,0.941,0.234,0.366,0.79,0.505,-0.045,1.001,0.213,1
-0.309,0.979,0.266,0.379,0.801,0.548,-0.112,0.964,0.229,1
-0.255,0.98,0.273,0.354,0.784,0.533,-0.05,0.956,0.263,1
-0.242,0.963,0.252,0.409,0.751,0.547,-0.06,0.949,0.237,1
-0.217,0.984,0.22,0.395,0.776,0.523,-0.042,0.962,0.273,1
-0.256,0.947,0.223,0.409,0.771,0.5,-0.026,0.972,0.256,1
-0.267,0.844,0.316,0.394,0.772,0.526,-0.055,0.949,0.206,1
-0.205,0.886,0.362,0.41,0.754,0.501,-0.104,0.987,0.221,1
-0.267,0.944,0.403,0.43,0.747,0.514,-0.184,0.981,0.198,1
-0.22,0.906,0.43,0.449,0.725,0.506,-0.114,0.967,0.115,1
-0.206,0.894,0.412,0.459,0.726,0.489,-0.138,1.053,0.27,1
-0.216,0.887,0.423,0.454,0.743,0.516,0.027,0.972,0.03,1
-0.22,0.856,0.424,0.476,0.734,0.514,-0.178,1.0,0.124,1
-0.233,0.838,0.423,0.485,0.73,0.507,0.106,0.979,-0.029,1
-0.312,0.798,0.457,0.481,0.716,0.517,0.037,0.977,-0.153,1
-0.358,0.801,0.42,0.467,0.725,0.527,0.016,0.987,-0.191,1
-0.336,0.819,0.429,0.473,0.725,0.504,0.111,0.997,-0.16,1
-0.347,0.837,0.412,0.473,0.722,0.517,0.053,0.976,-0.163,1
-0.455,0.971,0.34,0.47,0.717,0.531,0.034,0.994,-0.28,1
-0.376,0.927,0.271,0.471,0.718,0.509,0.021,1.017,-0.201,1
-0.36,0.847,0.235,0.473,0.721,0.51,0.046,0.97,-0.287,1
-0.423,0.851,0.194,0.479,0.719,0.514,-0.004,0.983,-0.197,1
-0.366,0.905,0.192,0.467,0.729,0.515,0.021,0.986,-0.197,1
-0.393,0.944,0.19,0.47,0.734,0.503,-0.147,0.999,-0.094,1
-0.272,0.917,0.275,0.467,0.74,0.504,-0.111,1.021,0.025,1
-0.351,0.917,0.303,0.475,0.729,0.506,-0.125,1.042,0.067,1
-0.335,0.882,0.278,0.475,0.733,0.5,-0.154,1.01,0.16,1
-0.325,0.928,0.235,0.482,0.726,0.511,0.22,0.905,-0.099,1
-0.314,0.922,0.216,0.477,0.727,0.509,-0.734,0.906,0.141,1
-0.282,0.914,0.274,0.485,0.726,0.511,-0.178,1.028,-0.063,1
-0.41,0.997,0.201,0.484,0.721,0.496,-0.103,0.95,0.132,1
-0.31,0.919,0.268,0.485,0.721,0.486,-0.19,0.941,0.202,1
-0.294,0.969,0.266,0.481,0.717,0.501,-0.191,0.915,0.176,1
-0.267,0.939,0.25,0.472,0.752,0.483,-0.102,0.811,0.043,1
-0.243,0.95,0.246,0.473,0.724,0.508,-0.011,1.153,0.106,1
-0.222,0.979,0.291,0.507,0.728,0.517,-0.129,1.009,0.129,1
-0.247,0.939,0.252,0.474,0.736,0.501,-0.093,1.003,-0.17,1
-0.305,0.923,0.21,0.483,0.733,0.496,0.124,1.106,0.015,1
-0.194,0.892,0.341,0.48,0.73,0.491,-0.053,0.945,-0.36,1
-0.124,0.958,0.39,0.48,0.735,0.497,0.071,0.957,-0.32,1
-0.207,0.893,0.427,0.476,0.734,0.5,-0.014,1.006,-0.141,1
-0.258,0.917,0.424,0.485,0.731,0.485,0.04,0.952,-0.316,1
-0.292,0.945,0.369,0.48,0.732,0.489,-0.01,0.971,-0.28,1
-0.321,0.867,0.331,0.476,0.736,0.501,0.017,0.97,-0.247,1
-0.333,0.722,0.364,0.488,0.73,0.495,0.025,0.959,-0.267,1
-0.375,0.792,0.424,0.502,0.721,0.494,0.074,0.985,-0.19,1
-0.376,0.889,0.473,0.48,0.729,0.495,0.041,0.973,-0.213,1
-0.332,0.89,0.492,0.487,0.732,0.483,0.059,0.982,-0.21,1
-0.279,0.908,0.467,0.478,0.734,0.494,-0.176,1.021,-0.167,1
-0.249,0.935,0.411,0.485,0.733,0.485,-0.26,1.027,-0.146,1
-0.205,0.903,0.368,0.485,0.734,0.483,-0.091,0.938,-0.049,1
-0.182,0.845,0.363,0.49,0.737,0.488,-0.21,0.97,-0.039,1
-0.248,0.832,0.329,0.479,0.743,0.488,-0.297,0.945,0.024,1
-0.28,0.943,0.316,0.464,0.763,0.504,-0.305,0.995,0.052,1
-0.355,0.961,0.281,0.526,0.821,0.516,0.016,0.986,0.039,1
-0.397,0.981,0.239,0.5,0.871,0.49,0.223,1.032,0.204,1
-0.439,0.906,0.232,0.648,0.907,0.488,-0.254,0.938,0.094,1
-0.388,0.93,0.288,0.258,0.615,0.514,-0.077,1.005,0.12,1
-0.361,0.934,0.293,0.467,0.384,0.227,-0.098,0.948,-0.034,1
-0.281,0.956,0.31,0.54,0.473,-0.069,-0.027,0.958,0.147,1
-0.286,0.913,0.29,0.903,0.669,-0.225,0.19,1.121,0.531,1
-0.261,0.947,0.28,0.756,0.704,0.026,0.154,1.081,-0.022,1
-0.258,0.865,0.287,0.384,0.637,0.158,-0.135,0.958,-0.192,1
-0.272,0.902,0.383,0.431,1.154,0.409,0.066,0.989,-0.202,1
-0.168,0.988,0.545,0.447,1.405,0.449,0.024,0.956,-0.217,1
-0.167,0.779,0.542,-0.094,1.089,0.319,0.082,0.955,-0.294,1
-0.212,0.825,0.453,0.048,0.757,0.32,0.032,0.963,-0.283,1
-0.207,0.876,0.407,0.051,0.836,0.281,0.096,1.022,-0.129,1
-0.263,0.806,0.403,0.218,0.941,0.328,0.042,0.956,-0.302,1
-0.298,0.833,0.452,0.214,0.974,0.331,0.053,0.973,-0.222,1
-0.302,0.854,0.482,0.336,0.978,0.319,0.077,0.988,-0.162,1
-0.331,0.855,0.459,0.418,0.95,0.339,0.05,0.991,-0.278,1
-0.299,0.902,0.462,0.308,0.935,0.38,-0.151,0.998,-0.218,1
-0.271,0.905,0.485,0.306,0.987,0.352,-0.031,1.045,0.002,1
-0.208,0.88,0.46,0.422,1.047,0.489,-0.132,1.039,0.025,1
-0.215,0.931,0.457,0.518,0.866,0.413,-0.223,1.057,-0.26,1
-0.204,0.875,0.402,0.607,0.725,0.412,-0.099,0.937,-0.14,1
-0.242,0.891,0.3,0.756,0.555,0.52,0.034,0.865,-0.008,1
-0.335,0.89,0.241,0.693,0.304,0.444,-0.061,0.954,0.138,1
