Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.369,0.959,0.311,0.578,0.597,0.712,0.045,0.959,-0.27,0
-0.449,0.87,0.246,0.598,0.536,0.588,0.136,0.92,-0.344,0
-0.623,0.683,0.46,0.633,0.314,0.516,0.175,0.951,-0.254,0
-0.98,0.377,0.924,0.753,0.141,0.519,0.118,1.007,-0.249,0
-0.884,0.279,0.701,0.91,0.123,0.641,0.079,0.93,-0.423,0
-0.557,0.236,0.226,0.506,-0.096,0.629,-0.277,1.119,0.014,0
-0.4,0.305,0.009,0.526,-0.154,0.8,0.215,0.938,-0.532,0
-0.673,0.522,0.105,0.574,0.022,0.697,0.04,0.65,-0.296,0
-0.968,0.319,0.345,0.608,0.253,0.665,0.17,1.627,0.859,0
-1.187,0.276,0.613,0.577,0.253,0.614,-0.116,1.156,-0.061,0
-1.199,0.003,0.873,0.563,0.084,0.751,0.068,0.96,0.193,0
-1.214,0.064,0.822,0.795,-0.083,0.958,-0.075,0.949,0.175,0
-1.003,0.04,0.554,0.66,-0.067,0.926,-0.041,1.076,0.211,0
-0.701,0.022,0.297,0.569,-0.003,0.573,0.01,1.094,0.288,0
-0.504,0.175,0.095,0.76,0.403,0.367,-0.131,1.022,0.133,0
-0.86,0.434,0.071,0.811,0.45,0.394,-0.198,0.862,0.135,0
-0.989,0.246,0.41,0.793,0.226,0.708,-0.143,0.888,0.226,0
-0.969,0.032,0.748,1.069,-0.065,0.811,-0.117,0.954,0.29,0
-0.998,-0.024,0.692,0.939,-0.202,0.729,-0.055,0.944,0.48,0
-0.89,0.019,0.481,0.786,0.098,0.452,-0.175,0.757,0.359,0
-0.783,0.082,0.308,0.691,0.328,0.184,-0.147,0.805,0.415,0
-0.829,0.344,0.283,0.724,0.237,0.345,-0.155,0.819,0.473,0
-1.01,0.382,0.224,0.818,0.204,0.779,-0.178,0.834,0.51,0
-0.838,0.291,0.275,1.1,0.13,0.953,-0.196,0.771,0.543,0
