Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.75436,-0.944588,-3.141563,0.715423,0.776473,-2.694208,3.128397,0.075714,0.106069,0
-1.742072,-0.863557,-2.022933,1.266172,1.749624,-2.703479,3.211532,-0.055102,-0.026042,0
-1.967359,-1.32911,-1.658538,1.453891,1.916497,-2.992888,0.583187,-0.602767,0.402429,0
-1.323217,-0.876809,-1.739428,1.013846,2.231205,-2.19083,-0.332365,-1.057877,0.556823,0
-2.018482,0.1156,-2.224957,0.738145,0.976484,-2.036493,0.358871,-0.063561,-0.315729,0
-1.467268,0.345578,-2.02533,0.362462,0.309286,-0.803525,-0.876497,-0.451401,-0.152176,0
-0.899359,0.681092,-1.675925,0.287092,0.071433,-0.675097,-1.828437,-0.583004,0.294017,0
-0.134527,2.404395,-1.280222,0.742736,0.261075,-0.981343,-1.077008,0.032991,0.246968,0
0.61391,1.91678,-0.455243,1.281679,0.904782,-1.514108,-0.434385,0.565751,0.017745,0
0.68839,2.15725,0.372025,1.579312,1.319946,-1.37101,0.355982,0.39532,-0.102199,0
0.49691,2.391715,0.735223,0.471658,1.497783,-1.304426,0.721476,0.530125,0.39363,0
0.047227,1.675847,1.754038,-0.021622,1.164912,-0.631367,0.557594,0.519748,0.254613,0
-0.343945,0.951845,1.574516,0.323922,1.091906,-0.105136,-0.092913,-0.039695,0.12544,0
-0.000901,0.607166,1.160713,0.781689,0.675382,0.3322,-0.324854,-0.232077,0.080662,0
0.068637,-0.680437,1.701723,0.261433,0.758298,0.533189,-0.116977,-0.532066,0.059272,0
0.519902,-0.889652,0.939785,-0.503982,-0.379339,1.305073,0.077465,-0.233599,0.156393,0
0.395133,-0.462161,1.159048,0.776524,0.042814,1.386464,-0.030837,0.020895,0.066147,0
-0.077897,-0.086713,0.862602,-0.025796,-0.601549,1.259349,0.309355,0.287656,0.097064,0
-0.151697,-0.578728,-0.057585,-0.838139,-0.913469,1.379715,0.757734,0.327618,0.208303,0
-0.456084,-0.643282,-0.666839,-0.545084,-1.177372,1.218485,0.031563,-0.143778,0.092997,0
-1.79294,-0.454804,0.247237,-0.93839,-1.370578,1.33927,-0.233822,-0.022606,-0.084516,0
-0.209986,2.527429,-1.586466,-0.856667,-1.398574,0.948353,-0.60258,0.003916,-0.01941,0
-3.258385,-3.586641,-0.807646,-1.179859,-1.121922,0.699181,-1.249175,0.243444,-0.059574,0
-0.651448,-2.476372,-2.809,-1.129355,-0.923661,0.532896,-2.174741,0.730764,0.046996,0
0.054929,-2.145253,-4.148108,-0.065221,-0.741512,-0.086763,-3.070854,0.67418,0.25174,0
-0.784837,0.038299,-1.950147,-0.398987,-0.185577,-0.891307,-2.507706,-1.318705,0.011148,0
0.099141,3.340891,0.266242,0.235242,0.331231,-1.811759,-1.594464,-0.934753,0.237601,0
0.22117,3.542552,0.789981,0.905619,0.777239,-2.493674,0.67743,-1.179268,1.297438,0
-0.024666,2.872174,2.122195,1.162113,1.322192,-2.251797,1.876814,-2.115909,0.990816,0
