Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.04592,-1.580401,1.12444,-2.658181,0.312385,1.816498,0.333295,0.745916,0.665389,0
0.191632,-1.808671,1.43346,-2.374711,0.022185,1.622046,0.208384,-0.008324,0.31561,0
0.207164,-1.84543,1.826149,-1.883283,-0.48662,1.156451,0.489279,0.38755,0.70956,0
0.535263,-1.852638,1.761497,-1.412789,-0.535945,0.918479,0.838524,-0.559204,0.750718,0
0.269404,-1.475644,1.484844,-1.184115,-1.012717,0.918746,0.546455,-0.831129,0.950825,0
0.27588,-1.337479,0.747035,-1.146815,-1.035149,0.536665,0.132543,-1.162576,1.247827,0
0.726841,-1.195862,1.014894,-0.622415,-1.235192,0.363542,0.057718,-1.848638,0.131751,0
0.908673,-0.284541,1.180617,0.611802,-1.737278,0.990056,0.360868,-1.188442,-0.972836,0
0.371988,-0.214638,1.001468,1.732827,-1.24656,2.02609,0.260206,1.258813,-1.352551,0
0.029542,-0.460515,0.473053,2.032224,-1.079724,1.521156,3.990076,3.197362,-3.172358,0
-0.144399,-0.050584,-0.300697,2.265209,-0.880793,0.996859,3.659887,4.073981,-2.54828,0
0.101832,-0.215004,-0.908192,2.241566,-0.884801,0.838172,2.485525,4.350776,-1.537184,0
0.299477,0.137663,-1.396436,1.740514,-0.759426,0.025771,0.454539,0.617115,0.985914,0
-0.14581,0.446478,-2.010058,1.531276,-0.856034,-0.755514,-2.828267,-3.960379,6.154388,0
-0.475994,2.201528,-1.389114,1.1973,-0.4541,-2.11377,-0.592255,-5.415396,3.05782,0
-0.347165,2.967788,-0.565001,0.321801,-0.286933,-2.135189,-0.064437,1.313529,-2.656137,0
-0.075231,2.796337,-0.409557,-0.350862,-0.368746,-1.427869,-3.995578,1.92663,-0.427165,0
-0.0602,2.651513,-1.145518,-0.086147,-0.069869,-1.847316,-1.580367,-1.309654,0.594015,0
-0.666662,1.862588,-1.581906,0.260116,0.617824,-2.255453,-1.271845,-0.047482,0.182085,0
-0.963115,1.079206,-1.873935,0.240989,0.47158,-2.344276,-0.314049,-0.109751,-0.756633,0
-0.519632,1.338201,-2.738881,1.516633,-0.359732,-2.914713,-1.077719,-0.95761,-0.016053,0
-0.432893,1.117329,-2.649236,2.283496,0.917756,-3.882991,0.570184,-0.645171,-1.070728,0
-0.474132,1.265815,-2.580039,3.214625,0.676561,-3.699862,-0.071792,-0.443145,-0.610777,0
-0.14587,0.841895,-2.460776,2.966257,0.520348,-2.820501,0.028633,-0.500902,0.129142,0
0.019952,-0.088565,-1.58042,1.060087,-0.354997,-1.371878,0.142968,-0.76909,-0.874856,0
0.177858,-0.357577,-1.854616,-0.597123,0.645054,-0.505784,-1.253005,1.067873,-0.422026,0
-0.335154,-0.436067,-0.630608,-1.236457,0.364654,-0.061643,-0.953196,1.445345,-0.18356,0
