Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.212261,2.264731,-0.691025,0.100088,-5.096399,-0.816949,-0.029051,0.881541,0.005057,0
-0.494052,2.137855,-0.739708,-0.249581,-5.718587,-1.824992,0.229506,0.543895,0.08925,0
-0.509831,2.045665,-0.912763,-0.477248,-4.848055,-2.689364,0.324277,0.432782,0.105322,0
-0.477723,2.229582,-0.33691,-0.363404,-3.935439,-2.210753,0.404492,0.312965,0.20857,0
-0.403268,2.147894,0.48143,-0.369067,-3.459584,-1.279601,0.156703,-0.041519,0.073722,0
-0.280505,1.962361,0.840893,0.034306,-3.261032,-0.183929,0.36255,-0.452934,0.329455,0
-0.241802,1.692024,1.110965,0.394868,-2.867165,0.711308,0.756095,-0.883582,0.613886,0
-0.086483,1.533285,1.06636,0.553295,-2.215203,0.994159,0.253432,-1.284169,0.755901,0
-0.127792,0.876951,1.131759,0.647508,-1.679795,1.44939,-0.443707,-1.367648,0.885952,0
-0.558523,0.163354,1.292652,0.672942,-1.110559,1.378015,-0.693645,-1.687301,0.724712,0
-0.629091,-0.209317,1.040701,0.901498,-0.886178,1.262257,-0.468472,-1.008957,-0.578917,0
-0.620745,-0.424277,0.441903,0.843591,-0.631406,0.88232,-1.214752,1.142956,-0.247643,0
-0.470254,-0.553453,0.530043,0.752239,-0.282263,1.338572,-0.109411,-0.126852,-0.344411,0
-0.521016,-1.053514,0.125983,0.522469,0.119297,2.110477,1.630673,-0.260532,-1.555357,0
-0.669061,-0.868255,-0.535387,0.334111,0.342625,1.688604,3.4246,-0.688537,-2.198536,0
-0.58859,-0.887129,-1.16283,0.421779,0.368903,1.871185,1.354742,-1.506519,-0.183253,0
-0.870677,-0.878225,-1.20396,-1.031362,-0.018754,2.425807,-1.095405,2.344273,2.14554,0
-0.35602,-1.039756,-1.263867,-0.399234,-0.09527,0.493222,-1.870626,-0.577605,3.83632,0
0.336841,-0.836712,-1.287386,-1.066124,-1.215502,1.194438,-0.671512,-2.728707,-0.780384,0
0.332466,-0.77498,-1.205954,-1.090809,-2.062229,0.269206,-0.575406,0.793146,-1.214412,0
0.070385,-0.858346,-1.652967,-1.526988,-1.80967,0.457493,-0.715326,2.817195,0.539915,0
2.145982,-0.295276,-2.102573,-0.936658,-1.327147,-0.129139,-0.58028,1.622665,0.901289,0
1.114089,-0.712324,-1.242991,-0.873645,1.82054,-1.204821,1.139494,-0.14373,-0.694052,0
0.553024,-0.812666,-0.891371,0.340744,3.085599,-2.945255,-0.092959,0.800941,0.036678,0
-0.631964,-0.49069,-0.328989,0.490593,4.076436,-3.998892,1.481795,1.2158,0.244999,0
-0.839104,1.495399,0.069113,0.724709,4.879188,-4.05432,0.482388,0.964074,0.658628,0
-1.52795,1.774203,2.88556,1.072661,6.605952,-3.874524,-1.238648,-0.692776,0.539305,0
-1.507638,2.283587,4.998728,1.529046,6.753387,-4.668623,-2.264276,-0.487876,-1.129499,0
-1.137632,2.449149,5.381509,2.127368,5.923024,-3.766498,-0.658799,0.7485,-0.887926,0
-0.068287,1.117635,5.144849,2.541074,5.648673,-1.890588,-0.914389,0.845275,0.29426,0
0.599586,-0.095647,4.659992,2.227292,3.731138,-1.286185,0.034868,0.902613,-0.253681,0
1.329714,-1.087266,3.552967,-0.728425,2.032376,0.160971,-0.161318,1.152831,-0.332061,0
2.062212,-1.678013,1.316485,-1.947524,-1.867648,1.781159,0.394563,-0.284728,0.522694,0
2.787384,-1.908916,-0.740881,-2.60644,-3.86754,4.857493,0.774119,-0.378826,0.423745,0
3.112287,-1.593007,-2.542642,-4.236731,-4.464094,5.695105,0.953338,0.166906,0.678694,0
3.053188,-1.525789,-6.004505,-6.686247,-3.647208,4.117565,1.010636,-0.465526,0.64407,0
3.171173,-1.106345,-5.947367,-5.044072,-3.463044,4.440418,1.058743,-0.137714,0.716163,0
2.827331,-0.768815,-6.471809,-3.305169,-2.459145,3.901747,0.879481,-0.439309,0.627788,0
