Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.097765,-1.227843,-0.085795,0.790648,0.44307,0.26076,0.239703,0.066009,0.027652,1
-0.078152,-1.262942,-0.089722,0.952706,0.469485,0.221981,0.143598,0.111885,0.078076,1
-0.051442,-1.397195,-0.055005,0.980443,0.473003,0.193627,0.007501,0.265639,0.167598,1
-0.104385,-1.363846,0.034176,0.899254,0.406613,0.29066,0.268521,0.203955,0.116778,1
-0.123459,-1.105101,0.20289,0.658014,0.347345,0.39869,0.327745,0.104164,0.103676,1
-0.102335,-0.734211,0.166924,0.499115,0.206488,0.429113,0.106824,0.115086,0.160047,1
-0.060437,-0.455687,0.135183,0.311629,0.092102,0.367372,0.17312,0.233566,0.070182,1
-0.044395,-0.17403,-0.014259,0.096726,-0.040482,0.292221,0.188193,0.220597,0.046166,1
0.056699,0.032445,-0.038031,-0.072755,-0.191974,0.228138,0.093317,0.123184,0.04674,1
0.108667,0.256962,-0.063049,-0.221151,-0.328179,0.143039,0.084312,0.080628,0.089103,1
0.150607,0.459588,-0.091566,-0.383727,-0.447079,0.101347,0.031277,0.058865,0.159304,1
0.194119,0.634697,-0.197989,-0.320531,-0.764833,0.33321,0.066859,-0.063009,0.433628,1
0.160405,0.788372,-0.249685,-1.091667,-1.114521,0.041985,0.183819,-0.174196,0.549535,1
0.155088,0.886246,-0.218376,-0.906002,-0.958789,0.148284,0.195853,0.0302,0.180206,1
0.062996,0.882578,-0.237361,-0.434615,-0.622713,0.332768,0.17312,0.160029,-0.028643,1
-0.024468,0.80547,-0.237419,-0.246253,-0.334123,0.247657,-0.078008,0.01392,0.033239,1
-0.148488,0.648052,-0.297435,-0.269675,-0.006975,0.010301,0.006078,-0.203497,-0.270134,1
-0.230083,0.485529,-0.332483,-0.187831,0.089109,0.043177,0.055587,-0.154496,-0.328614,1
-0.28344,0.440683,-0.297847,0.043935,0.209426,0.109287,0.022356,-0.19525,-0.103376,1
-0.320185,0.351847,-0.237963,0.221844,0.224421,0.127027,0.010122,-0.278027,-0.138559,1
-0.367873,0.290188,-0.144289,0.479938,0.098574,0.261241,0.138619,-0.05361,-0.627364,1
-0.422654,0.23041,-0.090391,0.364699,0.015808,0.094308,-0.037167,0.136372,-0.533193,1
-0.421317,0.10755,-0.081858,0.4718,0.146012,0.13321,-0.058925,0.04582,-0.471449,1
-0.394376,-0.020676,0.002834,0.573459,0.017246,0.248533,0.140372,-0.24619,-0.288196,1
-0.323438,-0.003343,0.167685,0.440097,-0.104825,0.199364,0.177735,-0.345702,-0.043761,1
-0.17805,0.012558,0.083605,0.523962,-0.196511,0.263404,0.152076,-0.149645,0.269637,1
-0.1466,0.038406,-0.020747,0.435889,-0.25839,0.140828,0.22715,-0.019482,0.222441,1
-0.027058,-0.102683,0.020407,0.253948,-0.232798,-0.023735,0.15368,0.299001,0.001583,1
0.064051,-0.184005,0.104421,0.217898,-0.187491,-0.083397,0.12769,0.786314,0.524815,1
0.120986,-0.180446,0.198586,0.10284,-0.136238,-0.187502,-0.120239,0.040758,0.637811,1
0.152903,-0.049762,0.234056,-0.000837,-0.103035,-0.255865,-0.057987,-0.312196,0.426824,1
0.193942,0.017199,0.430957,0.046647,-0.009731,-0.198823,-0.205331,-0.168212,-0.011691,1
0.199701,0.065272,0.541508,0.256592,0.023735,-0.082025,-0.57968,-0.388388,-0.238239,1
0.212406,0.161113,0.549492,0.346263,0.104216,-0.059056,-0.565011,-1.17715,-0.714112,1
0.208003,0.28779,0.4399,0.196404,0.070982,-0.215681,-0.252936,-0.539046,-1.26408,1
0.242808,0.26888,0.320518,0.252536,-0.019038,-0.155184,-0.119694,0.052602,-1.694683,1
0.22483,0.36161,0.424906,0.345775,-0.043903,-0.050755,0.065947,-0.148588,-1.299336,1
0.223484,0.348789,0.308609,-0.00324,-0.098046,0.057865,0.22102,0.071812,-1.042839,1
0.0842,0.333468,0.189453,-0.518384,-0.245169,0.067358,0.693071,-0.006477,-1.355466,1
0.017337,0.283423,0.221885,-0.067359,0.124383,0.626813,0.676489,0.413246,-0.684256,1
-0.18878,0.080524,0.114006,-0.067657,0.340509,0.955989,0.521601,0.077317,-0.219996,1
-0.345716,-0.069884,-0.161723,-0.964663,0.015947,0.616158,0.192223,-1.532578,-0.400954,1
-0.51566,-0.303865,-0.483982,-0.981038,0.099945,0.644011,-0.168661,-2.557963,-0.142408,1
-0.682119,-0.586862,-0.640704,-1.348977,-0.065767,0.530507,-0.123882,-3.163458,-0.530832,1
