Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.340484,-0.49637,0.570181,-0.541233,-0.62743,1.026456,-0.298094,-0.253136,0.069761,0
-0.353349,-0.454759,0.600092,-0.767356,-0.425482,0.881262,-0.278306,-0.251222,0.030692,0
-0.359903,-0.445819,0.500721,-0.823981,-0.545524,0.913331,-0.221512,-0.250837,0.055218,0
-0.477384,-0.458316,0.612805,-0.943619,-0.730653,1.041218,-0.194329,-0.280676,0.095145,0
-0.60111,-0.503116,0.561085,-0.978359,-0.783647,1.043786,-0.224577,-0.153214,0.057802,0
-0.91952,-0.533414,0.6216,-1.166886,-0.984699,1.214043,-0.184529,-0.118185,0.136984,0
-1.40984,-0.604212,0.961951,-1.077764,-1.211624,1.523211,-0.179915,-0.124249,0.094124,0
-2.095384,-0.762053,1.198995,-1.146678,-1.518545,1.325198,-0.224432,-0.061916,0.115319,0
-2.737838,-0.809322,1.596672,-0.958229,-2.067935,1.418043,-0.63745,-0.097051,0.227749,0
-2.541637,-0.451288,1.631482,-0.662885,-1.919826,1.149719,-0.11891,0.531208,0.343478,0
-1.462526,-1.374873,1.649454,-0.209241,-1.54694,0.594206,0.133314,0.668875,0.733136,0
-0.415453,-1.163381,1.162183,0.285405,-0.947399,-0.005504,0.892395,1.039825,-0.148993,0
-0.079811,-0.471914,0.755658,-0.077281,-0.443622,-0.435794,0.369409,0.38336,0.033845,0
-0.580857,-0.219352,0.982901,0.048042,-0.189758,-0.577727,-0.391435,-0.106647,0.143772,0
-0.286665,0.122419,0.473949,-0.122981,0.036682,-1.365189,-0.072346,-0.610626,0.323519,0
0.229181,0.439373,-0.319725,-0.22676,0.252209,-0.836045,-0.220881,-1.423262,-0.113367,0
0.487971,0.798346,-1.299665,0.040502,0.848062,-0.895901,-0.524848,-1.228643,-0.226583,0
0.431758,0.629184,-1.948117,0.710947,1.684541,-1.078695,-0.548518,-1.249766,0.236676,0
0.327753,0.734342,-1.506683,0.978497,2.077698,-1.895314,-0.771441,-1.124033,-0.07633,0
1.56857,0.364814,-0.635805,1.217282,2.025135,-2.184405,-0.922609,0.038825,0.135282,0
1.050317,-0.249893,-1.12475,1.136272,2.198996,-2.504536,-0.477861,1.046295,0.183149,0
1.111565,-1.016283,-0.383984,1.575509,2.364771,-3.929134,0.21251,1.118253,-0.286832,0
1.161741,-1.084042,-0.694622,2.505225,2.598927,-4.867572,-0.259555,1.349947,-0.066883,0
0.911733,-0.791046,-1.292871,2.957006,3.242702,-4.06966,-0.447507,1.753948,0.286652,0
0.896116,-0.352138,-1.147713,2.343292,2.060155,-3.907592,0.781744,1.351583,0.288997,0
1.361858,0.240602,-2.167499,1.804777,1.471518,-3.785281,0.292773,1.446109,-0.16732,0
1.176253,0.564799,-3.815388,1.088942,0.685458,-0.905077,0.94862,-0.106453,0.106818,0
1.141861,1.403444,-5.406266,-0.569789,-0.03092,0.971609,1.383497,0.083844,-0.308483,0
0.844446,1.784858,-6.096277,-1.567963,-0.522068,2.137722,1.020528,0.324405,-0.055706,0
0.824059,2.186178,-6.321394,-2.798922,-1.459703,2.997566,-0.487895,-0.841825,-0.433879,0
-0.005276,2.91854,-6.823807,-3.358171,-1.963877,3.825798,-2.193541,0.291146,-0.242209,0
1.148472,3.845988,-4.779188,-2.643857,-2.052773,3.691502,-1.856036,-0.229985,0.453283,0
1.213657,3.605633,-2.586612,-1.987201,-2.031661,2.860747,-1.227594,-0.85055,-0.139048,0
0.847153,2.647526,-0.385854,-1.368644,-1.770974,1.606577,-0.973023,-0.275759,-0.000669,0
0.514332,1.123334,2.169818,-0.550259,-1.12642,-0.055571,0.181624,0.522992,0.039514,0
-0.551638,-0.719164,2.976011,-0.015548,-0.745142,-1.717962,0.354494,-0.78091,-0.540525,0
-0.688418,-2.306371,3.191014,0.691219,-0.136823,-2.874414,-0.572229,0.271717,-0.154105,0
-0.892179,-3.277448,3.640446,1.481002,0.360378,-4.181809,-0.434769,0.329745,-0.126198,0
-1.499993,-4.066167,4.118119,2.099662,0.646556,-4.509347,0.293478,0.115211,-0.853866,0
-1.288466,-4.024216,4.132991,2.58872,1.616703,-3.799285,-0.893525,0.167255,-0.191356,0
-1.108515,-3.077265,3.958658,2.61705,1.842746,-3.689013,-0.966836,-0.157089,-0.098645,0
-0.828099,-2.283559,2.942995,2.589863,2.054947,-2.339171,-0.147228,-0.789881,0.088041,0
0.004834,-1.212615,1.978304,2.154177,1.465353,-0.279389,-0.448966,-0.109764,-0.21888,0
0.549052,-0.1616,0.662194,0.857134,1.162893,0.794481,0.161341,-0.311228,0.261995,0
0.703869,0.712478,-0.380049,-0.36634,0.497703,1.176486,0.355547,-0.63107,0.815545,0
0.591566,1.002857,-1.136802,-1.369917,-0.395345,1.93887,0.155022,-0.970594,0.02501,0
0.425926,1.259791,-1.620453,-2.087428,-0.874463,2.974641,-0.827465,-0.87834,-1.048485,0
0.251806,1.884756,-1.947062,-2.708859,-1.185243,3.076562,-1.127795,-0.169461,0.050479,0
-0.013952,2.596228,-3.087005,-2.95113,-1.613058,3.238113,-0.923659,0.255558,0.740005,0
-0.785812,3.089399,-3.520871,-2.437974,-2.180141,2.958818,-0.665084,-0.105809,1.332523,0
-1.085398,3.779386,-2.653799,-1.486719,-1.680483,2.278047,-0.451281,-0.653407,0.533121,0
-0.978169,3.102308,-1.337046,-0.403273,-0.9294,1.391032,-0.229537,-1.075631,0.725474,0
-0.007303,2.108564,0.74555,0.822117,0.129533,0.394464,-0.036347,-0.284684,0.199955,0
1.149163,0.733323,0.91898,1.84625,1.486169,-1.741239,0.337773,-0.170158,-1.39925,0
1.527213,-0.710892,1.723274,2.350503,1.852278,-2.753196,-0.302308,0.131542,-1.223685,0
1.566373,-2.346087,2.440254,2.410637,2.241413,-2.978947,-0.25754,-0.297841,0.317793,0
1.238675,-3.848239,3.482501,2.271728,1.927428,-2.343402,-0.222068,0.180974,0.017506,0
0.486895,-3.296348,2.789676,1.846744,2.096653,-1.356248,-1.940228,-0.118949,-0.77035,0
0.141291,-2.699926,3.872654,1.37694,1.706446,0.43572,-1.349209,-0.062747,-0.327714,0
-0.344762,-2.326671,3.196941,0.599431,1.129722,0.195015,-0.159787,0.180271,0.156148,0
-0.515351,-1.823859,2.386759,-0.027047,0.177354,0.924131,-0.013085,0.200026,1.196817,0
-0.12142,-0.453742,1.043833,-0.403444,-0.434809,1.810704,-0.335293,0.079016,0.396976,0
0.249822,0.270749,0.101357,-0.3703,-0.865243,1.717676,-1.09793,-0.047686,-0.765451,0
0.040868,0.141107,-0.308829,-0.805809,-1.801624,2.412169,-0.855325,-0.350295,0.759844,0
0.031717,1.185576,-0.982278,-1.381372,-2.222546,3.151445,-0.09449,-0.589817,1.182083,0
0.310981,2.214363,-1.22467,-1.775091,-1.558985,2.926301,0.206977,-0.180957,-0.284795,0
-0.004935,3.387654,-2.469199,-1.922403,-1.495759,3.40963,-0.224852,-0.129222,-0.353561,0
0.131264,3.60854,-2.618458,-2.017832,-1.227813,2.755974,-0.230626,-0.658498,0.898116,0
0.169655,2.915229,-2.095343,-1.420102,-0.640625,1.918747,-0.624998,-0.382205,0.153103,0
