Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.330365,-0.13533,0.083756,-0.023248,0.26633,0.40248,0.196346,-0.160819,0.083322,0
1.270482,0.472543,-0.415206,0.335341,0.009873,0.390454,0.238395,-0.270407,0.007004,0
1.01625,0.858429,0.105445,0.770127,-0.42796,0.225886,0.251095,-0.094663,0.034491,0
0.562719,0.347414,0.373807,0.583119,-0.566347,0.079181,0.049667,-0.038571,0.179251,0
-0.266099,-0.767179,0.166527,0.207409,-0.67415,0.080752,-0.389049,0.027911,0.117674,0
-1.39583,-1.295967,0.088781,0.081563,-0.637851,0.191332,-0.548117,0.168998,0.071774,0
-1.574708,-1.075601,0.026955,0.074209,-0.585442,0.224593,-0.379798,0.091304,0.133256,0
-1.099517,-0.273855,0.197605,-0.298969,-0.465676,0.366879,-0.465107,-0.02316,0.09397,0
-1.156771,0.50172,0.791341,-0.70103,0.036435,0.236721,-0.529765,0.057432,0.036662,0
-1.376277,0.693419,1.246974,-0.210925,-0.629559,1.124802,-0.224333,0.183295,0.16125,0
-1.777874,-0.33069,0.89405,0.221418,-1.042148,1.352859,-0.010521,0.101985,0.033589,0
-1.830675,-0.107408,1.089537,0.448465,-2.112051,1.943884,-0.259797,-0.40754,0.103456,0
-1.675587,0.612084,1.330432,-0.094545,-2.054753,1.926668,-0.472661,-0.117885,0.04636,0
-0.896058,1.230997,1.184964,-0.845561,-1.558472,1.855481,-0.331534,-0.023071,0.249157,0
-0.508622,1.519165,1.369993,-1.137959,-1.029352,1.480303,-0.136365,-0.142548,0.313636,0
-1.399402,0.032234,1.401687,-0.824116,-0.306271,1.096594,0.068752,-0.092199,0.08894,0
-1.956251,-1.037028,1.580809,-0.576225,-0.073475,0.598218,-0.146345,0.253053,0.420807,0
-1.112301,-0.520524,0.954345,-0.868299,-1.379269,2.403992,-0.540219,1.013311,0.458106,0
-0.447534,0.619346,0.906621,-0.895283,-0.830914,1.627674,-0.807844,1.63995,0.691266,0
-0.042492,0.789944,0.358191,-0.54193,0.440864,-0.507568,-0.177435,1.491023,1.355493,0
0.235269,0.871467,0.258296,-0.15943,0.868741,-1.859382,0.844975,1.929886,1.582755,0
0.088186,0.377799,0.804332,-0.373049,0.95896,-2.580112,0.681752,1.567878,0.862226,0
-0.967154,-1.333316,1.579904,-0.806018,0.976511,-2.713653,-0.019476,-1.322253,-0.741316,0
-0.305539,-1.536267,2.295015,-0.687859,0.927394,-3.067556,1.318174,-2.357613,-0.734432,0
1.326588,-1.233106,2.889214,-0.603797,0.584288,-2.536857,1.189607,-4.30898,-1.111529,0
2.406688,-0.560927,1.120551,-0.816858,0.361583,-2.647134,1.861671,-1.834615,-2.218503,0
3.14616,-0.095137,-0.527599,-0.6533,0.00799,-3.869595,2.12949,0.749595,-3.167054,0
3.242951,0.613097,-1.426379,-0.384552,-0.200221,-4.286936,2.080733,0.462088,-3.264215,0
2.67784,1.504529,-2.563188,-0.034246,0.118127,-3.50217,-2.666272,1.612795,-1.043084,0
2.508823,1.367758,-3.279618,0.95497,0.904478,-3.832557,-2.002255,1.059093,1.736727,0
1.183858,2.154782,-4.684682,2.617446,1.65997,-3.389639,-8.443064,3.400958,3.235373,0
-0.118012,2.281327,-5.525115,3.03992,2.704266,-3.366973,-3.611405,1.625519,5.925322,0
-0.824805,1.613446,-6.447604,4.594364,3.604611,-2.047622,2.012586,-1.854428,-3.228097,0
-2.45328,1.871432,-8.040653,4.26384,4.573794,-0.427877,1.713281,-1.283489,-2.742343,0
-3.122702,3.020766,-9.353055,2.335146,4.476539,0.31676,1.148423,-1.459173,-0.050585,0
-1.884096,2.472704,-9.351627,0.581951,3.61125,2.121876,-0.722638,0.744854,1.265532,0
-2.216353,1.464005,-10.321149,-1.476897,2.421147,2.181154,0.525147,2.026667,0.696699,0
0.036353,-0.294905,-8.816435,-3.338092,0.320598,2.389692,-0.041363,0.546114,-0.025787,0
4.695734,-2.210593,-3.414629,-4.255891,-1.365196,1.834538,0.723267,-0.059231,-0.038544,0
7.191377,-3.064712,1.325332,-5.157947,-3.570873,0.934566,0.362017,-0.695877,-1.072406,0
5.935066,-3.493891,4.001234,-4.375277,-5.103288,0.930326,0.269961,-1.215354,1.383741,0
6.183212,-2.100598,7.099096,-2.944277,-5.720145,-0.146901,0.175098,-0.485537,0.494961,0
5.735171,-0.75044,8.975357,-1.509731,-6.073656,-1.321683,-0.232926,-1.622745,-1.59417,0
3.222073,-0.138337,12.940144,-0.17021,-5.147399,-1.519043,-0.610101,-1.257163,1.415238,0
-1.159409,-0.049387,10.987654,1.503288,-3.759509,-1.629818,1.008728,-0.04403,0.064547,0
-5.978372,-1.477474,8.457588,2.962454,-2.060335,-2.134961,0.987602,-0.044596,-2.052798,0
-7.553274,-1.434469,5.685309,3.392155,0.128028,-2.914334,0.352135,-0.609673,2.150998,0
-11.480248,-2.675678,2.147647,2.596077,1.971692,-2.329571,0.824859,0.420108,1.68424,0
-8.440907,-0.764209,0.874912,3.664836,3.143394,-2.854841,0.331055,0.662198,-0.928129,0
-5.115924,-0.350279,-0.501296,4.367465,4.232996,-1.558577,0.178394,0.135562,0.495694,0
-2.086079,-0.573566,-1.590779,3.518793,4.332927,1.137764,0.147069,0.559075,0.20859,0
1.22759,0.90339,-4.601054,0.458626,2.995105,1.588866,-0.056049,0.353811,0.029656,0
2.39149,2.927448,-8.99404,-0.65503,2.188974,0.72609,-0.063871,0.387318,0.825905,0
1.149165,4.168142,-11.210657,-0.046873,3.976552,1.153118,-0.112912,0.483223,-0.243699,0
2.872312,3.018083,-9.966228,-3.22532,3.599992,3.677979,-0.254841,-1.117656,-1.401926,0
