PacketCounter,SampleTimeFine,Forearm_Acc_X,Forearm_Acc_Y,Forearm_Acc_Z,Forearm_Gyr_X,Forearm_Gyr_Y,Forearm_Gyr_Z,Upper_Arm_Acc_X,Upper_Arm_Acc_Y,Upper_Arm_Acc_Z,Upper_Arm_Gyr_X,Upper_Arm_Gyr_Y,Upper_Arm_Gyr_Z,Activity
0,1450443011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1450476345,9.43045139312744,-2.96962380409241,-1.40793931484222,-1.74487829208374,1.21419906616211,1.9165632724762,9.9320821762085,-0.46117272973061,0.74047553539276,-0.48457312583923,0.49643495678902,0.08457633852959,0
2,1450509679,9.36770439147949,-2.88701462745667,-1.32598352432251,-3.24867725372314,2.54143047332764,-0.5197713971138,9.84818935394287,-0.43738225102425,0.76227635145187,-1.03835487365723,-0.06643613427877,0.53270578384399,0
3,1450543013,9.33064079284668,-3.01816892623901,-1.31879019737244,-5.71362018585205,2.0765540599823,-1.83419692516327,9.86230087280273,-0.42669069766998,0.83023345470428,-1.16530740261078,-0.1524083763361,0.44811019301414,0
4,1450576347,9.40342998504639,-3.09575843811035,-1.40070843696594,-3.16996288299561,1.30788397789001,-3.02310609817505,9.91637325286865,-0.37617042660713,0.79305905103683,0.29542651772499,0.15328881144524,0.45085716247559,0
5,1450609681,9.44059371948242,-3.09349370002747,-1.39201366901398,-1.65121912956238,2.08192563056946,-3.13387489318848,9.9016695022583,-0.31628921627998,0.75437825918198,-0.38533666729927,-0.3356351852417,0.45986640453339,0
6,1450643015,9.37649536132812,-3.12925457954407,-1.31725811958313,-3.32859492301941,1.67853820323944,-2.42092561721802,9.87007522583008,-0.32450991868973,0.83172589540482,-2.82244944572449,-0.33390000462532,0.87764167785645,0
7,1450676349,9.46278667449951,-3.1460816860199,-1.28743302822113,-3.07155871391296,0.84084266424179,-1.32722473144531,9.96441555023193,-0.42579951882362,0.81750422716141,-2.0317018032074,0.49018549919128,0.43328687548637,0
8,1450709683,9.44221305847168,-3.10308647155762,-1.32075941562653,-8.85970687866211,2.40987968444824,0.76914715766907,9.87356281280518,-0.31239947676659,0.71594828367233,-1.46158242225647,-0.03380236402154,0.53293949365616,0
9,1450743017,9.31623458862305,-3.30611157417297,-1.20889222621918,-9.31692218780518,4.13344478607178,2.43518567085266,9.755051612854,-0.37354147434235,0.75152337551117,-4.18194055557251,-0.04997039586306,1.11954116821289,0
10,1450776351,9.42571640014648,-3.278968334198,-1.21843504905701,-5.02684020996094,3.3206148147583,3.23825693130493,9.96865653991699,-0.53218728303909,0.84273642301559,-3.8152813911438,0.97895926237106,1.30085957050323,0
11,1450809685,9.55414772033691,-3.3211817741394,-1.3561794757843,-0.62535977363586,2.38451385498047,2.14157748222351,10.08475780487061,-0.57334852218628,0.86761790513992,-1.07032287120819,2.00788521766663,1.50462770462036,0
12,1450843019,9.36211395263672,-3.21246790885925,-1.3343631029129,2.79154443740845,1.84019899368286,1.29204869270325,9.84823131561279,-0.50478273630142,0.8047451376915,0.39846643805504,2.2339494228363,1.62396371364594,0
13,1450876353,9.23864555358887,-3.18509984016418,-1.33970284461975,3.7583281993866,1.76524364948273,1.39498627185822,9.74273109436035,-0.50343900918961,0.80078649520874,0.25386348366737,2.15437698364258,1.8337060213089,0
14,1450909687,9.35274791717529,-3.09245181083679,-1.36217331886292,2.59544777870178,1.57192552089691,1.67485654354095,9.85413074493408,-0.50282067060471,0.71656537055969,1.258220911026,1.97823214530945,2.04641962051392,0
